gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,52-CD8_S38_L002,53-CD8_S40_L002,55-CD8_S42_L002,56-CD8_S44_L002
ENSMUSG00000003032,Klf4,16600,Kruppel-like factor 4 (gut),873.8399550677078,5.355279629289714,0.33449987599991177,16.009810506749265,1.0914170554224603e-57,1.045577539094717e-53,46,34,1475,2097
ENSMUSG00000021250,Fos,14281,FBJ osteosarcoma oncogene,11314.658740929262,3.581380208069149,0.22802524403331537,15.706068962899105,1.3744132222930216e-55,6.583439334783573e-52,1873,1475,17362,26344
ENSMUSG00000024190,Dusp1,19252,dual specificity phosphatase 1,4485.299221976368,3.6486066662827294,0.24123063778918502,15.12497210023256,1.1084760938325743e-51,3.5397336596386874e-48,759,511,7505,9901
ENSMUSG00000023034,Nr4a1,15370,"nuclear receptor subfamily 4, group A, member 1",2849.5801372366636,3.020585222454269,0.2323115659573631,13.00230236065236,1.1871462898266544e-38,2.843215364134837e-35,667,533,4456,6170
ENSMUSG00000026358,Rgs1,50778,regulator of G-protein signaling 1,1025.6330729865597,2.9363710435713832,0.23465323280691763,12.513661152018095,6.285882136623356e-36,1.204375017377035e-32,251,204,2043,1771
ENSMUSG00000055170,Ifng,15978,interferon gamma,610.0540008959971,3.770233529610261,0.3188281596642529,11.825283982382755,2.889239822031137e-32,4.613152915843049e-29,87,73,1409,985
ENSMUSG00000052837,Junb,16477,jun B proto-oncogene,23946.67829432403,2.011340016619353,0.17183689321072984,11.704937042552169,1.2024845504914093e-31,1.6456859991011001e-28,8641,9669,34347,46041
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,9675.450616645881,2.371948825493769,0.20443714810845692,11.602337674146263,4.009733173671288e-31,4.801655475471367e-28,3471,2538,15035,18955
ENSMUSG00000051675,Trim32,69807,tripartite motif-containing 32,282.1429041904618,-4.417049965299814,0.4005301041627965,-11.028009928323621,2.799921490599696e-28,2.980360875549454e-25,522,514,27,26
ENSMUSG00000038418,Egr1,13653,early growth response 1,4243.789626749863,1.9410869023577162,0.18741363842032033,10.357233970370716,3.8802081848607473e-25,3.7172394410965957e-22,1926,1438,7073,7067
ENSMUSG00000030124,Lag3,16768,lymphocyte-activation gene 3,1113.326286293884,3.5620261574523995,0.34543469935004956,10.311720751141987,6.237436680664269e-25,5.432240309160336e-22,171,163,2908,1427
ENSMUSG00000026475,Rgs16,19734,regulator of G-protein signaling 16,325.2273328673994,3.6060508635161446,0.362639805367232,9.943891459638385,2.681427433503308e-23,2.140672901080141e-20,42,53,624,638
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,7413.515061942327,5.35170888818404,0.5396693127131273,9.91664480842707,3.524034887752763e-23,2.596942632667036e-20,456,222,13654,16686
ENSMUSG00000021365,Nedd9,18003,"neural precursor cell expressed, developmentally down-regulated gene 9",585.0486082525916,3.217454325130883,0.3379739279228253,9.519829961160712,1.7346265643218804e-21,1.1869801775859725e-18,123,95,1343,883
ENSMUSG00000033350,Chst2,54371,carbohydrate sulfotransferase 2,486.6098007638729,3.51123862572444,0.3918631078652298,8.960370484613291,3.2358932431067614e-19,2.0666571512641848e-16,69,82,1222,666
ENSMUSG00000044786,Zfp36,22695,zinc finger protein 36,12324.207185764635,1.258769144877363,0.14596843822719233,8.623570685315917,6.489808584182186e-18,3.885772889779084e-15,6958,7006,16493,19953
ENSMUSG00000006310,Zbtb32,58206,zinc finger and BTB domain containing 32,412.64588980781195,3.2925266029391205,0.38250295934547307,8.607846089800685,7.444611772355335e-18,4.195257692892006e-15,70,77,987,592
ENSMUSG00000026864,Hspa5,14828,heat shock protein 5,12643.262748677875,0.9900756071284605,0.11543935513857467,8.576586433109947,9.773023742937184e-18,5.201420414296567e-15,8438,7829,18125,17207
ENSMUSG00000018930,Ccl4,20303,chemokine (C-C motif) ligand 4,391.9356465084323,2.7673664236368496,0.3258695589174593,8.492252031242373,2.0267090456572987e-17,1.021888034599838e-14,95,98,804,634
ENSMUSG00000026360,Rgs2,19735,regulator of G-protein signaling 2,1129.8092167646448,1.8190605966955475,0.23325877354214572,7.798465922941482,6.2664269532691825e-15,3.0016185106159385e-12,408,553,1781,1914
ENSMUSG00000001020,S100a4,20198,S100 calcium binding protein A4,1746.4528634880894,2.937900144259488,0.38269154439579545,7.676940312067595,1.629333003805038e-14,7.432861988786793e-12,352,424,4728,1808
ENSMUSG00000071552,Tigit,100043314,T cell immunoreceptor with Ig and ITIM domains,412.8440033021833,3.643014235500081,0.47602977868153823,7.652912482891624,1.9647763685907652e-14,8.555708005045241e-12,44,74,1100,515
ENSMUSG00000020914,Top2a,21973,topoisomerase (DNA) II alpha,3131.0089776661725,2.2579377194729404,0.2955887973554091,7.638779749687362,2.1929005830022544e-14,9.133907645722435e-12,1088,992,7338,3599
ENSMUSG00000055435,Maf,17132,MAF bZIP transcription factor,594.2459435705404,3.789210115548038,0.5008139444045151,7.566103455952167,3.845858035039734e-14,1.5351383323200272e-11,81,73,1772,575
ENSMUSG00000030122,Ptms,69202,parathymosin,1540.771058258406,2.101436817012487,0.2853610688492842,7.36413283524102,1.783020819996945e-13,6.832535782228293e-11,575,544,3371,1901
ENSMUSG00000021453,Gadd45g,23882,growth arrest and DNA-damage-inducible 45 gamma,614.676965633962,2.2222245307189583,0.3067780705453068,7.243752875715303,4.364363430337588e-13,1.6081000639474651e-10,248,168,1071,1055
ENSMUSG00000011179,Odc1,18263,"ornithine decarboxylase, structural 1",2632.072514965053,1.0419467517657772,0.1439672288993169,7.237388395483113,4.574068613307956e-13,1.6229473079811193e-10,1642,1666,3680,3759
ENSMUSG00000071076,Jund,16478,jun D proto-oncogene,21458.29085946455,1.0154351464300628,0.14092023590280756,7.205744014865308,5.772776388053908e-13,1.975114207055587e-10,13185,14129,27326,32875
ENSMUSG00000040204,Pclaf,68026,PCNA clamp associated factor,993.7897862935073,3.149001492946227,0.4374615683321772,7.198350028670632,6.094552845665657e-13,2.0133040090164482e-10,196,191,2809,972
ENSMUSG00000027469,Tpx2,72119,"TPX2, microtubule-associated",699.856500873614,2.876402356176258,0.4007191162206988,7.178101167981365,7.068624871213874e-13,2.2572475422076302e-10,142,181,1790,813
ENSMUSG00000026116,Tmem131,56030,transmembrane protein 131,834.8913631662111,2.4063737400797915,0.338326294962536,7.112582663272617,1.1389127797057835e-12,3.519607880510131e-10,229,281,1077,1860
ENSMUSG00000110195,Pde2a,207728,"phosphodiesterase 2A, cGMP-stimulated",3293.226885031787,1.5937352553905495,0.225582620439972,7.0649735883117195,1.6064654576987236e-12,4.809355963985553e-10,1807,1337,4532,5835
ENSMUSG00000050335,Lgals3,16854,"lectin, galactose binding, soluble 3",849.4146848649284,3.191863552766928,0.46951714802838534,6.7981831253029315,1.059467346651782e-11,2.985205053212962e-9,165,157,2460,783
ENSMUSG00000015312,Gadd45b,17873,growth arrest and DNA-damage-inducible 45 beta,149.89998955541589,3.6357810112816837,0.5380822869896577,6.756923799930932,1.4095227135176735e-11,3.858065027285518e-9,17,26,270,312
ENSMUSG00000020205,Phlda1,21664,"pleckstrin homology like domain, family A, member 1",275.841133958622,2.5019167478471953,0.38244089841201095,6.54196964350772,6.071382885578006e-11,1.615662445662147e-8,84,75,443,540
ENSMUSG00000015880,Ncapg,54392,"non-SMC condensin I complex, subunit G",480.81051824032295,3.4648608408505424,0.5336601387042369,6.4926356487172905,8.434751199785685e-11,2.1839166619985638e-8,58,96,1401,466
ENSMUSG00000025491,Ifitm1,68713,interferon induced transmembrane protein 1,281.96371704141893,4.495320131724092,0.6950366418916765,6.46774552704043,9.947583018457142e-11,2.5078380346531426e-8,24,22,941,205
ENSMUSG00000026826,Nr4a2,18227,"nuclear receptor subfamily 4, group A, member 2",310.0071301759161,2.6736713574875424,0.41497812121272676,6.442921254918306,1.1719550936871114e-10,2.8788025121852632e-8,60,102,637,491
ENSMUSG00000028214,Gem,14579,GTP binding protein (gene overexpressed in skeletal muscle),425.190824811773,2.2943200940047404,0.3592190302784965,6.386967005133309,1.6920812869022766e-10,4.052534682130953e-8,169,107,736,747
ENSMUSG00000032218,Ccnb2,12442,cyclin B2,462.6096666395588,3.2056885284953434,0.5039760191351937,6.36079576563226,2.0071117356826201e-10,4.6897879092291464e-8,84,90,1314,453
ENSMUSG00000020330,Hmmr,15366,hyaluronan mediated motility receptor (RHAMM),342.0539095981248,3.562273879185819,0.5679273015159949,6.272411750019544,3.554979560805691e-10,8.10873909345679e-8,37,66,988,347
ENSMUSG00000005410,Mcm5,17218,minichromosome maintenance complex component 5,3209.851565018722,1.2281798123842473,0.1969557288662685,6.235816644958687,4.4942726715067625e-10,1.0012821440240647e-7,1792,1901,5572,3903
ENSMUSG00000027379,Bub1,12235,"BUB1, mitotic checkpoint serine/threonine kinase",204.7806202996305,3.5995678023087407,0.580082039230363,6.205273666263739,5.460180190237204e-10,1.1888301414198275e-7,30,30,568,232
ENSMUSG00000008384,Sertad1,55942,SERTA domain containing 1,1150.9163543847133,1.2415370256555407,0.20064041707209024,6.187871037017709,6.098218471818913e-10,1.2982429546672264e-7,695,619,1705,1692
ENSMUSG00000026285,Pdcd1,18566,programmed cell death 1,642.5973451477745,3.252948936851751,0.5270019603475643,6.172555666977767,6.719485775933936e-10,1.3994059507271112e-7,63,173,1728,731
ENSMUSG00000026011,Ctla4,12477,cytotoxic T-lymphocyte-associated protein 4,365.2039651457277,1.9967533886795763,0.3246727447762603,6.150049305972963,7.745886328782498e-10,1.552192302401105e-7,152,129,601,625
ENSMUSG00000030337,Vamp1,22317,vesicle-associated membrane protein 1,1019.8840871455727,-1.315861194277502,0.21398169372558695,-6.149410126480167,7.777163936874012e-10,1.552192302401105e-7,1298,1502,663,566
ENSMUSG00000028680,Plk3,12795,polo like kinase 3,270.3560990566951,2.4193176375291015,0.4021735522520731,6.01560600885244,1.7921497490838633e-9,3.5038356318823285e-7,70,94,552,407
ENSMUSG00000025574,Tk1,21877,thymidine kinase 1,401.15220224161874,2.3027767821273657,0.3835482260043206,6.003878067999265,1.9265940708672784e-9,3.6913542397817054e-7,126,134,892,515
ENSMUSG00000032220,Myo1e,71602,myosin IE,163.57699904589117,2.9958470632411967,0.49981340976934396,5.993930944397296,2.0482837885424056e-9,3.8475605282816167e-7,37,33,261,348
ENSMUSG00000015243,Abca1,11303,"ATP-binding cassette, sub-family A (ABC1), member 1",640.6284233182447,-1.4205533182618004,0.238953152546429,-5.9449030202093045,2.7662057748752777e-9,5.096202177558684e-7,894,899,375,357
ENSMUSG00000018983,E2f2,242705,E2F transcription factor 2,1524.4817323868979,1.7979007479944826,0.3032665974734252,5.928449631357868,3.058081840969503e-9,5.527627176695819e-7,655,654,3280,1718
ENSMUSG00000030156,Cd69,12515,CD69 antigen,3192.0149514685295,1.48443095514367,0.2507422968458255,5.920145798362873,3.2165633546531488e-9,5.60266853410494e-7,1570,1662,3737,6100
ENSMUSG00000019960,Dusp6,67603,dual specificity phosphatase 6,1758.1352506195783,1.1969164167869193,0.20321016947971496,5.890041919906961,3.8609766691569296e-9,6.60502794473632e-7,943,1112,2319,2814
ENSMUSG00000012443,Kif11,16551,kinesin family member 11,775.1008659385353,2.437185004592214,0.4143023925267311,5.882623534294374,4.038137260063284e-9,6.786904377439696e-7,212,253,1966,801
ENSMUSG00000036246,Gmip,78816,Gem-interacting protein,987.1593077387333,-1.6497978811511853,0.28217266430236176,-5.846767209822091,5.012181512989011e-9,8.278741188695642e-7,1609,1264,601,404
