gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,55-CD8_S42_L002,56-CD8_S44_L002,SRR6927755,SRR6927757
ENSMUSG00000113948,Rpl17-ps3,100040745,"ribosomal protein L17, pseudogene 3",11220.255765865404,-9.14767373044795,0.2607841404429381,-35.077569191557274,1.4818562446499133e-269,1.387165630616784e-265,57,58,10959,22198
ENSMUSG00000058558,Rpl5,100503670,ribosomal protein L5,22972.672049966026,-7.689737044174817,0.24215682989938184,-31.75519372040824,2.692054250603362e-221,1.2600159919949036e-217,363,283,21873,46332
ENSMUSG00000046330,Rpl37a,19981,ribosomal protein L37a,7316.05222976185,-6.7335354260943925,0.2580948109527423,-26.08938707925948,4.811077594834925e-150,1.5012165788416577e-146,213,184,7742,13024
ENSMUSG00000062353,Gm15772,100034726,ribosomal protein L26 pseudogene,3035.650342010797,-7.580217796693586,0.3031293932729231,-25.00654164496916,5.18961069488592e-138,1.2144986428706775e-134,52,40,3176,5529
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,5251.564435455568,7.286842563547257,0.301737447152188,24.149612957625298,7.536869506496604e-129,1.4110527090062942e-125,13654,16686,31,69
ENSMUSG00000029580,Actb,11461,"actin, beta",34090.26903362802,-5.284293425676118,0.23555397839315298,-22.433471350062838,1.8557783353616216e-111,2.895323499553357e-108,2266,2694,33037,64808
ENSMUSG00000025508,Rplp2,67186,"ribosomal protein, large P2",3470.680890982741,6.378193001571311,0.29309233555493286,21.761718843636828,5.350483391927285e-105,7.15512500454733e-102,9208,10736,44,76
ENSMUSG00000063457,Rps15,20054,ribosomal protein S15,19070.98482799639,-8.277705434870647,0.39438845651287713,-20.988711251999774,8.317034358217354e-98,9.731969828409081e-95,120,235,21672,31342
ENSMUSG00000031818,Cox4i1,12857,cytochrome c oxidase subunit 4I1,2270.562267097581,-5.247333582097693,0.25764240017223716,-20.36673147971679,3.2998019143338364e-92,3.432160635564338e-89,166,173,2292,4122
ENSMUSG00000037742,Eef1a1,13627,eukaryotic translation elongation factor 1 alpha 1,76273.96988059052,-6.593645583446368,0.32547654263618425,-20.258435615793996,2.9932270161731943e-91,2.801959809839727e-88,1701,2833,73902,149539
ENSMUSG00000090137,Uba52,22186,ubiquitin A-52 residue ribosomal protein fusion product 1,24285.586820940727,-4.678220389752298,0.23544428740574658,-19.86975535189016,7.436439516180593e-88,6.328410028269685e-85,2626,2689,24911,42112
ENSMUSG00000053436,Mapk14,26416,mitogen-activated protein kinase 14,1434.3334088771426,-4.892407068431254,0.26256010719577444,-18.63347452392414,1.7198808926002439e-77,1.2384465412023757e-74,132,140,1332,2803
ENSMUSG00000029614,Rpl6,19988,ribosomal protein L6,2896.107156706698,-4.57724051232831,0.24841921727204755,-18.42546870001489,8.207671670894359e-76,5.488001036517292e-73,330,348,2496,5970
ENSMUSG00000110195,Pde2a,207728,"phosphodiesterase 2A, cGMP-stimulated",1808.7568685177075,6.1999436609760625,0.359886566009322,17.227494012142337,1.6515293145762542e-66,9.662478696092697e-64,4532,5835,29,40
