gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,52-CD4_S37_L002,53-CD4_S39_L002,57-CD4-B_S45_L002,58-CD4-B_S49_L002,60-CD4-B_S53_L002
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,9729.037326667554,3.5819383980748825,0.10420015429500719,34.375557524932695,5.847884152366971e-259,5.709874086371111e-255,1375,1424,17108,13530,13801
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,9917.00034175608,6.911367431854886,0.28951508881308047,23.87221840557357,5.953992930211062e-126,2.90673934852904e-122,199,96,17749,16200,13398
ENSMUSG00000003032,Klf4,16600,Kruppel-like factor 4 (gut),1248.192506371922,5.787719935290861,0.3489097693284606,16.58801341799734,8.50885771842267e-62,2.7693495587559647e-58,44,37,1462,2268,2079
ENSMUSG00000021250,Fos,14281,FBJ osteosarcoma oncogene,11695.331587149874,4.140926980862593,0.2605069048477615,15.895651530935517,6.79186300687166e-57,1.6578937599773723e-53,1095,1231,13292,21027,18729
ENSMUSG00000027907,S100a11,20195,S100 calcium binding protein A11,5223.0915698967765,1.6484600332291361,0.10850087866811838,15.193056991468545,3.931489253537533e-52,7.677412214308094e-49,2499,2495,7961,6072,6752
ENSMUSG00000001020,S100a4,20198,S100 calcium binding protein A4,4297.849837373642,2.8374300129440053,0.19706246244601497,14.398632685924728,5.277732397257475e-47,8.588629854470331e-44,1037,960,8564,5277,5309
ENSMUSG00000019256,Ahr,11622,aryl-hydrocarbon receptor,738.9824166754909,2.899991802849047,0.2485690108320486,11.666747166679169,1.8849335806722225e-31,2.62921306881194e-28,156,175,1410,818,1076
ENSMUSG00000020522,Mfap3,216760,microfibrillar-associated protein 3,587.5927308006821,5.115908377713056,0.4446473527793659,11.505541066948778,1.2371106311162968e-30,1.5098935252774403e-27,19,42,1386,558,898
ENSMUSG00000095115,Itpripl2,319622,"inositol 1,4,5-triphosphate receptor interacting protein-like 2",583.6085003824871,2.6665123306043506,0.23843104390954578,11.183578643458661,4.907048678256239e-29,5.323602588277102e-26,160,142,1011,693,853
ENSMUSG00000047898,Ccr4,12773,chemokine (C-C motif) receptor 4,2506.8205499096935,3.4357539350924275,0.30909812875790543,11.115414864848338,1.0555884951007685e-28,1.0306766066163903e-25,465,324,5757,2512,3362
ENSMUSG00000005087,Cd44,12505,CD44 antigen,5847.42447518851,1.473748397051544,0.13295625227993713,11.084461029697135,1.4924651180123888e-28,1.3247663102066332e-25,3048,3126,9296,6259,7303
ENSMUSG00000040899,Ccr6,12458,chemokine (C-C motif) receptor 6,785.477702234078,3.959397952772134,0.3628017990360424,10.91339117747536,9.947491017066817e-28,8.093941857553366e-25,53,125,1547,925,1193
ENSMUSG00000020279,Il9r,16199,interleukin 9 receptor,1137.0342355902305,3.336689519718018,0.3094013484165867,10.784340588022925,4.08160050720652e-27,3.0655959501818815e-24,223,159,2506,1248,1479
ENSMUSG00000091971,Hspa1a,193740,heat shock protein 1A,11289.80619222441,3.466077116807845,0.3243567026985745,10.68600429086517,1.1836098683169841e-26,8.254833395890738e-24,2293,1174,25236,14139,12753
ENSMUSG00000023903,Mmp25,240047,matrix metallopeptidase 25,691.8665653311373,6.208533348990175,0.5998925706203343,10.349408632565797,4.210786246196995e-25,2.7409411271911637e-22,11,23,2231,613,611
