gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,61-CD4_S57_L002,62-CD4_S59_L002,63-CD4_S61_L002,57-CD4-D_S46_L002,58-CD4-D_S50_L002,60-CD4-D_S54_L002
ENSMUSG00000091971,Hspa1a,193740,heat shock protein 1A,5857.755611957964,3.6545993958629563,0.2026380041220768,18.03511346105288,1.032832292466173e-72,9.694163897087499e-69,907,716,886,14732,13879,6652
ENSMUSG00000090877,Hspa1b,15511,heat shock protein 1B,9923.406997186336,3.464987987969801,0.20174804788233802,17.17482783273633,4.0986701649127206e-66,1.9235059083935397e-62,1716,1328,1750,22564,25857,11006
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,7960.839203771049,2.132308416582628,0.19921873564574114,10.70335282307175,9.816082686431868e-27,3.0711250698283166e-23,3717,2352,2570,11166,19512,10986
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,9884.541122293751,1.5152659526121235,0.14284065098646112,10.608086298596785,2.73289069287752e-26,6.4127280108371e-23,5088,4854,4989,13672,21727,11789
ENSMUSG00000029657,Hsph1,15505,heat shock 105kDa/110kDa protein 1,2724.976223468144,1.751224760989213,0.17117594919672563,10.230553820248433,1.4468954632990795e-24,2.716112163705032e-21,1103,1048,1470,4727,4758,3799
ENSMUSG00000015656,Hspa8,15481,heat shock protein 8,36968.25434393121,1.0699713866250233,0.10522749758109844,10.16817287515937,2.7501899969007408e-24,4.302213885151725e-21,24511,22935,22142,50142,69144,41306
ENSMUSG00000100801,Gm15459,727711,heat shock protein 8 pseudogene,32087.192532758065,0.9415077781100086,0.09320151176426862,10.101850928033569,5.420922304558803e-24,7.268682392941276e-21,21292,22320,20478,41702,55635,37138
ENSMUSG00000028410,Dnaja1,15502,DnaJ heat shock protein family (Hsp40) member A1,4495.933777713433,1.2816243848973357,0.12790408491122973,10.0201990091781,1.2425250197644206e-23,1.4577924794386064e-20,2765,2486,2397,6623,8921,4969
ENSMUSG00000028820,Sfpq,71514,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),12942.595114238338,0.7351578376458235,0.07571655973088293,9.709340205877984,2.751121559093619e-22,2.869114105961412e-19,9558,9677,9097,16838,20373,14223
ENSMUSG00000021250,Fos,14281,FBJ osteosarcoma oncogene,13496.356811241498,1.5829502004121245,0.16979941026098352,9.322471721068483,1.1366103526425103e-20,1.0668224769902601e-17,6764,6243,6672,16068,26516,21075
ENSMUSG00000050312,Nsun3,106338,NOL1/NOP2/Sun domain family member 3,181.53499450660556,-3.174720293210192,0.3453491671494026,-9.192783985596716,3.828032146499953e-20,3.266355429731687e-17,390,322,245,34,43,37
ENSMUSG00000023034,Nr4a1,15370,"nuclear receptor subfamily 4, group A, member 1",4426.2497251558625,1.356013886687074,0.15766795714560744,8.600440515854377,7.941069909616911e-18,6.211240180972027e-15,2796,1978,2470,6528,7141,6312
ENSMUSG00000024190,Dusp1,19252,dual specificity phosphatase 1,5749.520566106898,1.047932005814325,0.12350078598388052,8.48522539727887,2.153009889326603e-17,1.5544731400938075e-14,3907,3477,3546,7331,9507,7595
ENSMUSG00000063663,Brwd3,382236,bromodomain and WD repeat domain containing 3,616.533180056788,1.5256596809801648,0.18941528930983154,8.054575143005502,7.975534780029864e-16,5.347026388954307e-13,273,344,309,958,1042,881
ENSMUSG00000044786,Zfp36,22695,zinc finger protein 36,13358.742662199218,0.8818500199106597,0.11006827750981697,8.011845373268494,1.1299988629147655e-15,7.070779551545326e-13,9966,8708,8742,16890,23271,15105
ENSMUSG00000023944,Hsp90ab1,15516,"heat shock protein 90 alpha (cytosolic), class B member 1",1575.3307246724846,1.7523917201967458,0.2227494395882355,7.867098222272243,3.629616683258985e-15,2.1292238868168024e-12,827,620,658,2640,3769,1539
ENSMUSG00000042423,Fbrs,14123,fibrosin,6021.789479231113,0.6218730580705781,0.07930379442121882,7.841655782162517,4.44643851522617e-15,2.454957170818402e-12,4812,4621,4405,8021,9044,6194
ENSMUSG00000026064,Ptp4a1,19243,protein tyrosine phosphatase 4a1,324.2346089269574,2.6654585013067082,0.3441781135489441,7.744416034541559,9.60221244776404e-15,5.0070203352618496e-12,86,76,95,539,974,335
ENSMUSG00000024002,Brd4,57261,bromodomain containing 4,7709.5851440347205,0.5694426413585949,0.0745880447397898,7.634502866312831,2.266934473020856e-14,1.119865629672303e-11,6190,6147,5769,10052,10911,8234
