gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,55-CD8_S42_L002,56-CD8_S44_L002,57-CD8-B_S47_L002,58-CD8-B_S51_L002,60-CD8-B_S55_L002
ENSMUSG00000037355,Uvssa,71101,UV stimulated scaffold protein A,356.8313657898016,4.601548555324691,0.45866612462686973,10.03245783426475,1.0975003030303448e-23,9.789702703030676e-20,36,28,378,453,608
ENSMUSG00000017286,Glod4,67201,glyoxalase domain containing 4,393.188232644964,3.060813811506558,0.3927435584469728,7.79341569244304,6.522160460045636e-15,2.9088835651803536e-11,95,100,773,307,518
ENSMUSG00000024457,Trim26,22670,tripartite motif-containing 26,2623.1225116883634,1.2723449044130508,0.2100726844149564,6.056688940575391,1.389519118001432e-9,4.028577328651297e-6,1722,2073,3523,2393,2773
ENSMUSG00000049339,Retreg2,227298,reticulophagy regulator family member 2,287.15183869568784,3.2443131336407536,0.5394322436058037,6.014310735217328,1.8065369186777117e-9,4.028577328651297e-6,78,49,587,311,240
ENSMUSG00000028560,Usp1,230484,ubiquitin specific peptidase 1,409.4011956679674,-2.979167815995755,0.5314878610046413,-5.605335576930023,2.0785185707115373e-8,3.090064275124486e-5,592,1691,98,77,101
ENSMUSG00000051675,Trim32,69807,tripartite motif-containing 32,184.19060483406295,3.8928097234077748,0.6939045020224326,5.610007878694996,2.0231740414714513e-8,3.090064275124486e-5,27,26,351,259,111
ENSMUSG00000019850,Tnfaip3,21929,"tumor necrosis factor, alpha-induced protein 3",2079.854327593445,1.9866271318509612,0.3606921025195797,5.50781987732354,3.6330485433637565e-8,4.629541858114958e-5,1271,746,1851,2476,2975
ENSMUSG00000034254,Agpat1,55979,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)",527.6449554884556,3.7003620346318105,0.6781964523802959,5.456180169690489,4.864863180088828e-8,4.891905885793821e-5,153,22,932,549,659
ENSMUSG00000018362,Kpna2,16647,karyopherin (importin) alpha 2,361.53701434461505,2.6717034188190625,0.5094521558226303,5.244267569159599,1.5690436257993387e-7,1.3995869142130102e-4,134,96,493,520,303
ENSMUSG00000026989,Dapl1,76747,death associated protein-like 1,2564.90133273253,-1.1658427643210654,0.22830841264647292,-5.106438044954259,3.282881777891167e-7,2.662118678071746e-4,4534,5744,1917,1094,1385
ENSMUSG00000117310,Ptp4a1,19243,protein tyrosine phosphatase 4a1,1308.7426421071361,1.0452188405125504,0.20698915595977596,5.049630912624558,4.426644946235547e-7,3.2904727433684237e-4,1044,1097,1526,984,1745
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,21861.92894454221,1.3484220179991417,0.276566471287711,4.8755802238818156,1.084890942741127e-6,6.912305149464896e-4,13654,16686,21936,15333,38032
ENSMUSG00000032841,Prr5l,72446,proline rich 5 like,242.6843694329696,4.062904340998469,0.833237693019015,4.87604482494979,1.0823402388327834e-6,6.912305149464896e-4,47,16,761,109,203
ENSMUSG00000089824,Rbm12,75710,RNA binding motif protein 12,398.3529549010418,-1.458974151922513,0.3012717858426371,-4.842717507853779,1.2807531378756805e-6,7.616211993234047e-4,948,782,224,160,212
ENSMUSG00000011179,Odc1,18263,"ornithine decarboxylase, structural 1",3766.2882787402214,0.6736212837214944,0.14049428237539585,4.79465265299268,1.6295693568697517e-6,8.734149344563313e-4,3680,3759,4248,2731,4409
ENSMUSG00000026473,Glul,14645,glutamate-ammonia ligase (glutamine synthetase),122.05964203318426,2.7446440031450496,0.5729480020986415,4.790389342648442,1.664580032035609e-6,8.734149344563313e-4,37,37,132,120,220
ENSMUSG00000076757,Trgc4,107576,"T cell receptor gamma, constant 4",563.604666830393,2.274865947914132,0.480133469247173,4.737986609183935,2.158520718544434e-6,0.0010696669338564639,269,190,548,387,1240
