"","gene_symbol"
"1","Hspa1a"
"2","Hspa1b"
"3","Fosb"
"4","Jun"
"5","Hsph1"
"6","Hspa8"
"7","Gm15459"
"8","Dnaja1"
"9","Sfpq"
"10","Nr4a1"
"11","Zfp36"
"12","Hsp90ab1"
"13","Ptp4a1"
"14","Sik1"
"15","Rgs2"
"16","Stip1"
"17","Junb"
"18","Tra2a"
"19","Ccdc88b"
"20","Xrn2"
"21","Klf4"
"22","Dynll1"
"23","Cirbp"
"24","Chordc1"
"25","Atxn2l"
"26","Rsrp1"
"27","Banp"
"28","Herc4"
"29","Cpt1a"
"30","Zfp36l2"
"31","Hexim1"
"32","Tob1"
"33","Ubc"
"34","Prdm15"
"35","Sipa1"
"36","Ifi209"
"37","Arhgap45"
"38","Ube4b"
"39","Gadd45g"
"40","Klf6"
"41","Rapgef1"
"42","Cpne7"
"43","Cdk11b"
"44","Rbm3"
"45","Tra2b"
"46","Dusp11"
"47","Foxp4"
"48","Fam193b"
"49","Hnrnpa1"
"50","Med16"
"51","Mef2d"
"52","Srsf7"
"53","Pik3r5"
"54","Cxcr4"
"55","Tob2"
"56","Cenpb"
"57","Txlna"
"58","Egr1"
"59","Ccdc117"
"60","Rpl3"
"61","Akna"
"62","Hspa5"
"63","Lgals3"
"64","Jund"
"65","Bhlhe40"
"66","Cep250"
"67","Mafk"
"68","Plk2"
"69","Tagap"
"70","Pcf11"
"71","Prkab1"
"72","Srsf3"
