"","x"
"1","Jun"
"2","Fosb"
"3","Tnfaip3"
"4","Ythdc1"
"5","Camta2"
"6","Fos"
"7","Sik1"
"8","Prpf39"
"9","Chd2"
"10","Ube4b"
"11","Nfkbiz"
"12","Zfp36l2"
"13","Brd4"
"14","Brwd3"
"15","Dnaja1"
"16","Camsap1"
"17","Acrbp"
"18","Ralgapb"
"19","Med13"
"20","Brwd1"
"21","Itpkb"
"22","Ndufs8"
"23","Gstp3"
"24","Psmd8"
"25","Junb"
"26","Zfp36"
"27","Cebpb"
"28","Ccnt2"
"29","Cdk8"
"30","Tsc22d2"
"31","Bhlhe40"
"32","Uqcrq"
"33","Psmb2"
"34","Atp5pb"
"35","Crebbp"
"36","Safb"
"37","Kmt2e"
"38","Med29"
"39","Hsp90ab1"
"40","Zfp451"
"41","Tns1"
"42","Chrac1"
"43","Tmem64"
"44","Dnajb1"
"45","Hsph1"
"46","Mier3"
"47","Trgc1"
"48","Cdk12"
"49","Phc3"
"50","Ccdc117"
"51","Nubp1"
"52","Mrpl27"
"53","Coro1b"
"54","Tnrc6c"
"55","Acbd3"
"56","Gnas"
"57","Dera"
"58","Rfx1"
"59","Rc3h1"
"60","Ercc6"
"61","1600014C10Rik"
"62","Ms4a4b"
"63","Prdm2"
"64","Nfat5"
"65","Eya3"
"66","Dhx9"
"67","Coasy"
"68","Dusp1"
"69","Med16"
"70","Trip12"
"71","Emsy"
"72","Plekhg2"
"73","Usp48"
"74","Akap11"
"75","Psmb8"
"76","Htatip2"
"77","Supt20"
"78","Vamp2"
"79","Vcpip1"
"80","Ssr4"
"81","Ptp4a1"
"82","Rprd2"
"83","Psma2"
"84","R3hdm4"
"85","Hspa8"
"86","Emc6"
"87","Tnrc6b"
"88","Atp5e"
"89","Otud3"
"90","Ubc"
"91","Gbf1"
"92","Kat6a"
"93","Malat1"
"94","Zxdb"
"95","Ddi2"
"96","Gadd45g"
"97","Banp"
"98","Myh9"
"99","Trim33"
"100","Zbtb21"
"101","Parp4"
"102","Gba2"
"103","Jmjd8"
"104","Acsl5"
"105","Cd52"
"106","Hmgxb3"
"107","Rgs2"
"108","Prkab1"
"109","Tdg"
"110","Slc5a3"
"111","Ifi27l2a"
"112","Acsf3"
"113","Etv3"
"114","Eps15l1"
"115","Prdx1"
"116","Galk1"
"117","Med11"
"118","Mycbp2"
"119","Yeats4"
"120","H2az2"
"121","Ypel3"
"122","Bod1l"
"123","Foxo3"
"124","Sumo3"
"125","Haus1"
"126","Ndufa7"
"127","Klf4"
"128","Cops7a"
"129","Preb"
"130","Pkd1"
"131","Atp6ap1"
"132","Brd1"
"133","Nol7"
"134","Nbeal1"
"135","Sipa1l3"
"136","Pts"
"137","Slc25a4"
"138","Usp53"
"139","Atp5g3"
"140","Svil"
"141","Sec31a"
"142","Rc3h2"
"143","Plrg1"
"144","Bcl9l"
"145","Cwc15"
"146","Stk11"
"147","Dctn1"
"148","Hnrnpa1"
"149","Prmt7"
"150","Lyst"
"151","Snrnp40"
"152","Ipo8"
"153","Rpl3"
"154","Usp31"
"155","Ppp1r15a"
"156","Tra2b"
"157","Elp4"
"158","Sos1"
"159","Pbx2"
"160","Setd1b"
"161","Nrip1"
"162","Klf6"
"163","Med13l"
"164","Zfp654"
"165","Rab1b"
"166","Ercc5"
"167","Ndufb11"
"168","Ankrd17"
"169","Map3k14"
"170","Ddx55"
"171","Mrpl19"
"172","Igkc"
"173","Cct3"
"174","Zbtb20"
"175","Usp34"
"176","Tkt"
"177","Mef2d"
"178","Qtrt2"
"179","Dock2"
"180","Myd88"
"181","Rpl22l1"
"182","Tagap"
"183","Birc6"
"184","Slc25a37"
"185","Fbxl12"
"186","Rsrp1"
"187","Srgap2"
"188","Pank3"
"189","Tob1"
"190","Fam193b"
"191","Psmb4"
"192","Arid1a"
"193","Prdm15"
"194","Mrps24"
"195","Pdhb"
"196","Fbxo38"
"197","Cirbp"
"198","Ash1l"
"199","Mon2"
"200","Svbp"
"201","Yif1a"
"202","C1d"
"203","St3gal1"
"204","Tacc1"
"205","Srsf7"
"206","Ndufa4"
"207","Sirt5"
"208","Sdhaf1"
"209","Cops6"
"210","Utrn"
"211","Ddx5"
"212","Pcf11"
"213","Atxn2"
"214","Atf7"
"215","Chordc1"
"216","Akna"
"217","Stk35"
"218","Tcta"
"219","Mta3"
"220","Zmynd8"
"221","N4bp1"
"222","Kcnq1ot1"
"223","Rnf7"
"224","Ap3d1"
"225","Pik3r5"
"226","Hint2"
"227","Lamtor5"
"228","Bcr"
"229","Uqcr10"
"230","Adgrl1"
"231","Thoc3"
"232","H2-T23"
"233","Hadh"
"234","Cox14"
"235","Zmym1"
"236","Akap13"
"237","Nhp2"
"238","Pomp"
"239","Rpl10"
"240","Foxn2"
"241","Spcs1"
"242","Mrpl17"
"243","Mdm4"
"244","Alkbh5"
"245","Ccdc88c"
"246","Gcc1"
"247","COX2"
"248","Psma7"
"249","Fbrs"
"250","Stat6"
"251","Mrpl54"
"252","9930021J03Rik"
"253","Trappc14"
"254","Kmt5b"
"255","Supt16"
