gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,52-CD4_S37_L002,53-CD4_S39_L002,SRR6927754,SRR6927756
ENSMUSG00000037742,Eef1a1,13627,eukaryotic translation elongation factor 1 alpha 1,78954.34385435979,-6.805332194028529,0.24186115140031555,-28.137351346536466,3.4225551155677378e-174,3.231576540119058e-170,1843,2095,63752,197686
ENSMUSG00000029580,Actb,11461,"actin, beta",35347.852552388504,-5.166891374927271,0.2849918161481471,-18.129964027603407,1.8488004901523528e-73,8.728187114009257e-70,2200,3209,27964,87005
ENSMUSG00000003970,Rpl8,26961,ribosomal protein L8,7051.939481700427,-5.49203272966323,0.3142332944991682,-17.47756468141465,2.1237767921305376e-68,6.684233490432179e-65,364,501,7697,12421
ENSMUSG00000063457,Rps15,20054,ribosomal protein S15,12847.192980083744,-7.597982434134511,0.4517934503959101,-16.817380658078022,1.8203075132138994e-63,3.437468707953128e-60,259,107,10431,32243
ENSMUSG00000060938,Rpl26,19941,ribosomal protein L26,1344.8694795245412,-5.792286798789151,0.35495845797732506,-16.31821039508563,7.325171177106383e-60,1.1527377709039744e-56,68,66,958,3622
ENSMUSG00000046330,Rpl37a,19981,ribosomal protein L37a,5370.646229516325,-6.260596535052239,0.39332304253121936,-15.917187294093797,4.8154282901379726e-57,6.495324845068962e-54,170,220,3300,15849
ENSMUSG00000058558,Rpl5,100503670,ribosomal protein L5,20284.994594035565,-6.394819198896753,0.4060311688765887,-15.749577099191686,6.914214234764992e-56,8.160501350581382e-53,549,797,12131,60768
ENSMUSG00000090137,Uba52,22186,ubiquitin A-52 residue ribosomal protein fusion product 1,19254.100925119455,-4.581149014078534,0.2937880852807394,-15.593379185887875,8.074685761925386e-55,8.47124255156661e-52,2065,2279,13589,50227
ENSMUSG00000035242,Oaz1,18245,ornithine decarboxylase antizyme 1,3849.659404335329,3.4585613713422196,0.23541304217809486,14.691460334324834,7.312080361403351e-49,6.904066277237044e-46,9477,10377,270,786
ENSMUSG00000027650,Tti1,75425,TELO2 interacting protein 1,482.60281458450055,-5.000940582220734,0.3420866342166033,-14.618930066277379,2.1271691209960283e-48,1.825884621858591e-45,44,38,434,1055
ENSMUSG00000009090,Ap1b1,11764,"adaptor protein complex AP-1, beta 1 subunit",917.4514074956901,-4.680540396438033,0.3279064534818041,-14.274011221001365,3.1776281208666053e-46,2.3079357474786528e-43,91,103,681,2323
ENSMUSG00000059070,Rpl18,19899,ribosomal protein L18,4467.445762448146,-5.228576967467262,0.37624682181093067,-13.896667464993753,6.635987883078194e-44,4.4754998280017367e-41,296,358,2776,12846
ENSMUSG00000078193,Gm2000,100038991,ribosomal protein L35 pseudogene,5519.227231820336,-3.3259619648599643,0.24753526930496225,-13.436315455970014,3.7042669171616797e-41,2.3317125487893722e-38,1229,1593,5063,10330
ENSMUSG00000025260,Hsd17b10,15108,hydroxysteroid (17-beta) dehydrogenase 10,347.277932825339,-6.157544810260726,0.4634689736915062,-13.285775660916851,2.799424019906988e-40,1.6520100997476113e-37,14,13,272,882
ENSMUSG00000014769,Psmb1,19170,"proteasome (prosome, macropain) subunit, beta type 1",1400.2992128664134,-3.1496292846193,0.24018817151000357,-13.11317399528195,2.7676830909572142e-39,1.5372037496951773e-36,406,390,1195,2770
