gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,52-CD4_S37_L002,53-CD4_S39_L002,57-CD4-B_S45_L002,58-CD4-B_S49_L002,60-CD4-B_S53_L002
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,9692.986002279413,3.579195438431339,0.09617897384468617,37.21390752422846,4.065886807669634e-303,5.597099779438019e-299,1375,1424,17108,13530,13801
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,9879.21475178665,6.909243839514636,0.28405010150562965,24.324032284768254,1.0918238071883741e-130,7.51502326487758e-127,199,96,17749,16200,13398
ENSMUSG00000021250,Fos,14281,FBJ osteosarcoma oncogene,11651.107491145835,4.138030679044295,0.25524816716281606,16.211793898620847,4.162392838938368e-59,1.9099833273608526e-55,1095,1231,13292,21027,18729
ENSMUSG00000003032,Klf4,16600,Kruppel-like factor 4 (gut),1243.4111022718403,5.784941248716982,0.3608639359620673,16.030810153678182,7.786101943373296e-58,2.67958698381192e-54,44,37,1462,2268,2079
ENSMUSG00000027907,S100a11,20195,S100 calcium binding protein A11,5204.946754666986,1.645758400772419,0.10331621357121278,15.929333295185533,3.9656277740266735e-57,1.0918166387450236e-53,2499,2495,7961,6072,6752
ENSMUSG00000001020,S100a4,20198,S100 calcium binding protein A4,4282.239961099273,2.834804723104903,0.19638096532677732,14.435231634531366,3.106004663145592e-47,7.126210032143703e-44,1037,960,8564,5277,5309
ENSMUSG00000005087,Cd44,12505,CD44 antigen,5827.373692810081,1.4710340287296106,0.12879413181544003,11.42159202437561,3.262029911166047e-30,5.613137969638976e-27,3048,3126,9296,6259,7303
ENSMUSG00000019256,Ahr,11622,aryl-hydrocarbon receptor,736.3043402996159,2.8971653941414486,0.26463346758704315,10.947842011662845,6.804950770408227e-28,1.0408550256159963e-24,156,175,1410,818,1076
ENSMUSG00000047898,Ccr4,12773,chemokine (C-C motif) receptor 4,2497.628146238004,3.433383814472644,0.3152921056094993,10.889533081824176,1.293014800265414e-27,1.779964174045369e-24,465,324,5757,2512,3362
ENSMUSG00000020522,Mfap3,216760,microfibrillar-associated protein 3,585.4113054028628,5.113062782145953,0.4704625525416619,10.868161035395403,1.634623404234624e-27,2.045656889335803e-24,19,42,1386,558,898
ENSMUSG00000095115,Itpripl2,319622,"inositol 1,4,5-triphosphate receptor interacting protein-like 2",581.4935384823476,2.6637298810483228,0.2571825954956707,10.357348933019704,3.8755485134717575e-25,4.445900069704351e-22,160,142,1011,693,853
ENSMUSG00000020279,Il9r,16199,interleukin 9 receptor,1132.8626679045478,3.3342005613765613,0.3229992031116372,10.322627824639468,5.567805245369943e-25,5.895877462135587e-22,223,159,2506,1248,1479
ENSMUSG00000040899,Ccr6,12458,chemokine (C-C motif) receptor 6,782.5817186796245,3.9562861710702952,0.38473821510917433,10.283060054088073,8.401689484790922e-25,8.261261246259417e-22,53,125,1547,925,1193
ENSMUSG00000052837,Junb,16477,jun B proto-oncogene,26776.85961608536,2.0894566643337336,0.20814107088312173,10.038656260719607,1.0306859287457675e-23,9.458948330076158e-21,9173,10682,29859,39256,40913
ENSMUSG00000023903,Mmp25,240047,matrix metallopeptidase 25,689.306293308788,6.205674099438066,0.626614280198875,9.90349932253141,4.0195906359818204e-23,3.458355293432859e-20,11,23,2231,613,611
ENSMUSG00000026009,Icos,54167,inducible T cell co-stimulator,4152.352297191442,1.3730162246552704,0.14101678539790588,9.736544630350508,2.105935818822548e-22,1.7053124989359527e-19,2424,2213,6098,5084,4778
ENSMUSG00000076609,Igkc,16071,immunoglobulin kappa constant,1100.0177194637401,3.525410901072574,0.3634885117984992,9.698823447347063,3.049952501626661e-22,2.332535896521812e-19,144,186,1139,1954,1809
ENSMUSG00000024190,Dusp1,19252,dual specificity phosphatase 1,4472.045390471224,3.493346713734688,0.3621489026276931,9.646161256840864,5.103030501480749e-22,3.697279888599157e-19,508,868,4436,8904,6462
ENSMUSG00000028793,Rnf19b,75234,ring finger protein 19B,3266.2251075669847,1.507362491986517,0.15839946670409769,9.51620938726003,1.7961136906180067e-21,1.236265053252374e-18,1606,1789,5417,3684,3782
ENSMUSG00000005824,Tnfsf14,50930,"tumor necrosis factor (ligand) superfamily, member 14",1120.7284790031051,2.379233528641178,0.2561470283303729,9.288546285895201,1.5640989752896433e-20,9.361472388624882e-18,374,320,2168,1351,1337
ENSMUSG00000029822,Osbpl3,71720,oxysterol binding protein-like 3,1003.9241921040746,2.63802381166804,0.28915498964612474,9.12321732679253,7.292653543298258e-20,4.18294452821016e-17,310,218,1752,1074,1592
ENSMUSG00000020841,Cpd,12874,carboxypeptidase D,1023.9006638289641,3.6251651270400704,0.39757621212176203,9.11816405637927,7.640769016913723e-20,4.207313051473373e-17,105,184,2539,1070,1211
ENSMUSG00000043099,Hic1,15248,hypermethylated in cancer 1,664.1953951570467,2.8461784908686765,0.324086795687633,8.782148883387183,1.6038059861328076e-18,8.491535848117011e-16,153,155,1363,651,976
ENSMUSG00000034792,Gna15,14676,"guanine nucleotide binding protein, alpha 15",997.6098918749742,2.9662345783709325,0.3403220874037584,8.715962578273063,2.8829854015722673e-18,1.4698954458534752e-15,222,206,2177,894,1472
ENSMUSG00000034612,Chst11,58250,carbohydrate sulfotransferase 11,389.6190449951675,2.4670831918900156,0.2849666080338487,8.657446600188932,4.824494283221288e-18,2.371928153672295e-15,116,113,679,484,526
ENSMUSG00000040270,Bach2,12014,"BTB and CNC homology, basic leucine zipper transcription factor 2",2641.8282641757573,-1.6505962633847668,0.19204563895852583,-8.59481252652256,8.340084466606792e-18,3.9589518195623824e-15,5035,4720,1382,1487,1222
ENSMUSG00000066026,Dhrs3,20148,dehydrogenase/reductase (SDR family) member 3,330.1203629593225,2.7743092799429014,0.32581771008961047,8.514912461878994,1.6671619351638084e-17,7.650050399821662e-15,83,77,576,466,414
ENSMUSG00000030336,Cd27,21940,CD27 antigen,969.4419177636047,-1.5448452029084636,0.18336349692088047,-8.425042218599534,3.60620196061104e-17,1.6013863287023088e-14,1753,1744,577,511,499
ENSMUSG00000023048,Prr13,66151,proline rich 13,3976.1553090994926,1.4290192613986492,0.17015048090956938,8.39856140141112,4.51981606590239e-17,1.9443683738503846e-14,2007,2313,6538,3950,5072
ENSMUSG00000011179,Odc1,18263,"ornithine decarboxylase, structural 1",3162.5736203316937,1.1403048267490004,0.13602718774126937,8.382918486250837,5.1631233267105176e-17,2.1538047186514237e-14,1995,2017,3975,3762,3935
ENSMUSG00000008348,Ubc,22190,ubiquitin C,35041.517480854774,0.6730925409437779,0.08037572066608736,8.374326666880803,5.554050170621607e-17,2.2487369014346188e-14,26853,29668,43938,37635,37679
ENSMUSG00000048521,Cxcr6,80901,chemokine (C-X-C motif) receptor 6,1391.8595533865218,2.66892795370575,0.3208118626593354,8.319293219340329,8.848938920596108e-17,3.4804140908836e-14,370,351,3193,1480,1558
ENSMUSG00000021756,Il6st,16195,interleukin 6 signal transducer,3407.6046746533966,-0.9874272046069423,0.11959921494598844,-8.256134499318152,1.5046606307144475e-16,5.753655067337524e-14,5290,5307,2584,2264,2230
ENSMUSG00000023367,Tmem176a,66058,transmembrane protein 176A,1260.1533220371546,4.7408367123916975,0.574597787165962,8.250704785645814,1.574630946200301e-16,5.85847827172793e-14,109,57,4072,857,1316
