gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,57-CD4-B_S45_L002,58-CD4-B_S49_L002,60-CD4-B_S53_L002,SRR6927754,SRR6927756
ENSMUSG00000003545,Fosb,14282,FBJ osteosarcoma oncogene B,7571.885812560433,7.320795442460067,0.2513988443565518,29.12024301940383,1.990030203626771e-186,1.8529171225968866e-182,17749,16200,13398,40,85
ENSMUSG00000091971,Hspa1a,193740,heat shock protein 1A,8148.958923211483,9.040993330785623,0.38605716640042687,23.41879420367529,2.75024482631569e-121,1.2803764788912694e-117,25236,14139,12753,15,25
ENSMUSG00000037742,Eef1a1,13627,eukaryotic translation elongation factor 1 alpha 1,62280.20369737534,-7.042891739390918,0.3138177006048781,-22.44262106890678,1.510734881097468e-111,4.688817492632842e-108,2022,1477,948,63752,197686
ENSMUSG00000029580,Actb,11461,"actin, beta",27841.44070576315,-5.702718809354711,0.2667590738881496,-21.377787552770652,2.1508734203252278e-101,5.006695604162049e-98,2284,1418,1268,27964,87005
ENSMUSG00000078606,Gvin2,100042856,"GTPase, very large interferon inducible, family member 2",4081.44349226799,3.9135030336771983,0.20763941342126382,18.847592416076562,3.0752320078511527e-79,5.726697045020416e-76,9619,7130,7941,231,435
ENSMUSG00000060938,Rpl26,19941,ribosomal protein L26,1063.090284973866,-6.006874981781352,0.3277847610679281,-18.32566883893826,5.164265218858401e-75,8.014078908798429e-72,55,39,59,958,3622
ENSMUSG00000035242,Oaz1,18245,ornithine decarboxylase antizyme 1,4670.260231026052,3.5422795733374612,0.19463865335374153,18.199260590339303,5.2309075844325435e-74,6.957854359807345e-71,9882,8084,9828,270,786
ENSMUSG00000027907,S100a11,20195,S100 calcium binding protein A11,3570.613238090584,2.9838137634404944,0.16639704084500795,17.93189198730881,6.647848869875234e-72,6.877568980823145e-69,7961,6072,6752,328,792
ENSMUSG00000058558,Rpl5,100503670,ribosomal protein L5,15893.774340526383,-7.374954819018264,0.4112348099995715,-17.933683238113883,6.437060093951765e-72,6.877568980823145e-69,401,163,349,12131,60768
ENSMUSG00000003970,Rpl8,26961,ribosomal protein L8,5605.666092083287,-5.625573585178053,0.34344072162969774,-16.380042408726418,2.655579554878984e-60,2.0605084362898514e-57,405,405,226,7697,12421
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,7161.2055611714195,5.36661938678656,0.3398194846816099,15.792559369615768,3.5008265745003833e-56,2.5073997103979285e-53,17108,13530,13801,186,207
ENSMUSG00000021250,Fos,14281,FBJ osteosarcoma oncogene,8688.847609538974,6.372258613434128,0.4145517432024149,15.37144329489098,2.5443730234566126e-53,1.5793771480936347e-50,13292,21027,18729,114,125
ENSMUSG00000055435,Maf,17132,MAF bZIP transcription factor,4212.252256585805,5.077337458633552,0.33295435422074465,15.249349931214113,1.6628033440061651e-52,9.676476210025877e-50,8706,7242,9988,129,160
ENSMUSG00000047898,Ccr4,12773,chemokine (C-C motif) receptor 4,1826.6049500963727,5.829224383322213,0.38487417667652923,15.14579240846661,8.07751360810037e-52,4.4241017179425034e-49,5757,2512,3362,31,49
ENSMUSG00000063457,Rps15,20054,ribosomal protein S15,10100.767470602921,-8.452370373276736,0.5585185533125029,-15.133553439087738,9.729666263360365e-52,5.032940143230464e-49,184,69,29,10431,32243
ENSMUSG00000012848,Rps5,20103,ribosomal protein S5,4078.479529895351,-3.9086445429424335,0.25935919948290215,-15.070390989543846,2.5360774252574255e-51,1.2428114161353624e-48,872,611,858,3535,12646
ENSMUSG00000078193,Gm2000,100038991,ribosomal protein L35 pseudogene,4218.11247735596,-4.494819695620046,0.3046019451999811,-14.756372263706492,2.7993889504786677e-49,1.3032555258953438e-46,423,534,674,5063,10330
ENSMUSG00000005824,Tnfsf14,50930,"tumor necrosis factor (ligand) superfamily, member 14",776.6857124310208,5.189141293697117,0.3563878977470221,14.560374598860731,5.018206506511545e-48,2.224977180101381e-45,2168,1351,1337,20,34
ENSMUSG00000090137,Uba52,22186,ubiquitin A-52 residue ribosomal protein fusion product 1,15325.558737153466,-4.78616122996111,0.335034691616451,-14.28556907605355,2.6920141415710067e-46,1.0897975509638106e-43,2384,1021,1676,13589,50227
ENSMUSG00000026009,Icos,54167,inducible T cell co-stimulator,2821.7280315026464,2.5592204737658406,0.19064180400161948,13.424235503688898,4.3606111177424317e-41,1.6240660046919913e-38,6098,5084,4778,357,777
ENSMUSG00000060636,Rpl35a,57808,ribosomal protein L35A,4580.7803309698465,-2.9459409154311684,0.22461749445235793,-13.115367182835403,2.6887681172717734e-39,9.628892284583648e-37,1526,1675,1453,4171,11816
ENSMUSG00000011256,Adam19,11492,a disintegrin and metallopeptidase domain 19 (meltrin beta),3854.303317162238,2.905579087273119,0.22494171005458338,12.917031201407973,3.6079574194934797e-38,1.244210797514955e-35,9774,6112,6642,344,964
ENSMUSG00000107176,Gm9794,100042008,predicted pseudogene 9794,6308.070246686204,-4.5048080846660286,0.34953012497963776,-12.888182627830608,5.24656401884008e-38,1.7446699135507136e-35,622,1039,742,5812,19761
ENSMUSG00000030432,Rpl28,19943,ribosomal protein L28,9086.393036773281,-3.8747858375446707,0.30209984451575367,-12.826176205935159,1.1699746084476103e-37,3.756425372157138e-35,2332,1355,1686,7139,29872
ENSMUSG00000004105,Angptl2,26360,angiopoietin-like 2,1078.6268097659813,5.237629588029102,0.4153694689277643,12.609568058888708,1.8701515543281007e-36,5.804327040782982e-34,1611,2743,2152,26,46
ENSMUSG00000097993,Ptprv,13924,"protein tyrosine phosphatase, receptor type, V",746.0878956697509,3.3848324863258075,0.2685880498673829,12.602319753232099,2.0502447562451287e-36,6.158009330773676e-34,1807,1288,1342,60,114
ENSMUSG00000004612,Nkg7,72310,natural killer cell group 7 sequence,682.46204144315,5.308140111486209,0.42864385972232055,12.383567362716617,3.207617117195305e-35,9.050340296425903e-33,1700,1139,1409,21,19
ENSMUSG00000054892,Txk,22165,TXK tyrosine kinase,978.0323069390465,-3.4190704955149025,0.27607346138205086,-12.384640227273929,3.1650103525724905e-35,9.050340296425903e-33,323,216,225,839,2873
ENSMUSG00000050232,Cxcr3,12766,chemokine (C-X-C motif) receptor 3,1643.9760532505213,6.206121657796328,0.5027765432237188,12.343697695210118,5.267975480047591e-35,1.4426505792565625e-32,3370,3150,3675,30,17
ENSMUSG00000022015,Tnfsf11,21943,"tumor necrosis factor (ligand) superfamily, member 11",720.1367595215607,3.9233571350014413,0.32374148985085266,12.118796193867297,8.39836286115e-34,2.2342044742905043e-31,1359,1634,1295,33,92
ENSMUSG00000002489,Tiam1,21844,T cell lymphoma invasion and metastasis 1,1403.0658545162687,3.3706371829619872,0.2806659295844057,12.009427677784178,3.1703147759879975e-33,8.199666910895624e-31,3832,2114,2477,108,226
ENSMUSG00000026463,Atp2b4,381290,"ATPase, Ca++ transporting, plasma membrane 4",1568.2371830697398,5.483657931080701,0.46077883646013906,11.900845909521456,1.1715355355329333e-32,2.9481533436073355e-30,4732,2416,2758,42,35
ENSMUSG00000117748,Derpc,116621581,DERPC proline and glycine rich nuclear protein,531.8618290127989,-4.62451798172128,0.3902459181264223,-11.850266119178581,2.1450851263265933e-32,5.256023055586029e-30,88,37,70,696,1178
ENSMUSG00000119584,Rn18s,19791,18S ribosomal RNA,1206597.653678452,4.735768805506629,0.40238225081372925,11.769328284062187,5.616997114318884e-32,1.341022054651875e-29,1462584,3010634,2717213,28210,100123
ENSMUSG00000036499,Eea1,216238,early endosome antigen 1,1371.5562021753856,4.140161542432819,0.3523061755449236,11.751600822861235,6.929354810862231e-32,1.612980566098456e-29,2375,2736,3099,77,104
ENSMUSG00002076161,Rn7sk,19817,"RNA, 7SK, nuclear",4447.532516968339,4.421788444450012,0.3797700097562458,11.643332361310266,2.4812774114621533e-31,5.50075570907717e-29,7256,12502,6706,164,370
ENSMUSG00000024812,Tjp2,21873,tight junction protein 2,489.92436732724656,4.375595514252179,0.3770436311257266,11.60501107309016,3.8863730984406377e-31,8.415353469669949e-29,949,925,1089,24,33
ENSMUSG00000021756,Il6st,16195,interleukin 6 signal transducer,4163.441702854781,-2.0153868872369736,0.17447128328769546,-11.551396019215893,7.263097695333102e-31,1.5369705145737845e-28,2584,2264,2230,3784,8186
ENSMUSG00000003032,Klf4,16600,Kruppel-like factor 4 (gut),953.7141960778075,6.013231869272498,0.5226894502824512,11.504406423399333,1.2534876095326767e-30,2.593605140524167e-28,1462,2268,2079,19,14
ENSMUSG00000055407,Map6,17760,microtubule-associated protein 6,404.4231935128299,4.714872466985631,0.41480337127337225,11.366523981017355,6.1383714556510154e-30,1.2424864483384044e-27,1179,617,731,11,30
ENSMUSG00000025555,Farp1,223254,"FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)",347.2571551020567,3.935678502766108,0.34746149062880205,11.326948766735846,9.650836692919843e-30,1.911892349952695e-27,874,603,632,18,40
ENSMUSG00000028793,Rnf19b,75234,ring finger protein 19B,2287.2203692116555,2.3997802368576644,0.2122402761958639,11.306903099970764,1.212954973821884e-29,2.3528799502615754e-27,5417,3684,3782,315,705
ENSMUSG00000006333,Rps9,76846,ribosomal protein S9,4333.367937925525,-3.159934175030727,0.28254806828992235,-11.183704755639388,4.9000782814792266e-29,9.311148750786343e-27,1548,1008,1392,3332,13156
ENSMUSG00000058297,Spock2,94214,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2",722.7009942011085,4.650886816180276,0.4166771609678552,11.161847232944623,6.267556393191202e-29,1.1671443515400655e-26,1170,1487,1701,30,38
ENSMUSG00000012889,Podnl1,244550,podocan-like 1,1895.9558565731422,4.078641875388811,0.37038609205429673,11.011865625858606,3.3499398980939513e-28,6.115939292382898e-26,6124,2665,2990,99,174
ENSMUSG00000095597,Rps7-ps3,624124,"ribosomal protein S7, pseudogene 3",9545.02498997236,-3.7874001975544,0.34725349042366477,-10.906730391488946,1.0703712092895805e-27,1.9165819864798623e-25,2201,1761,1932,6261,34118
ENSMUSG00000092837,Rpph1,85029,ribonuclease P RNA component H1,682.553725769385,4.604106171747863,0.4237748480138842,10.864510230670929,1.7013359979833933e-27,2.9888942409855423e-25,1001,1725,1352,21,53
ENSMUSG00000037533,Rapgef6,192786,Rap guanine nucleotide exchange factor (GEF) 6,2255.605839354847,-4.905400791548738,0.4522729644780376,-10.846106614420338,2.0810206829481696e-27,3.588219181283409e-25,315,179,193,1295,9165
ENSMUSG00000038965,Ube2l3,22195,ubiquitin-conjugating enzyme E2L 3,1355.567641877289,-2.555289452294962,0.23811069617448938,-10.731518967221977,7.239622791665725e-27,1.2256023238763557e-24,527,570,621,1268,3100
ENSMUSG00000034614,Pik3ip1,216505,phosphoinositide-3-kinase interacting protein 1,1091.0039440745938,-2.8546959048561633,0.2720389313518752,-10.493703569081035,9.233652169659021e-26,1.5243082189979428e-23,439,362,380,842,3128
ENSMUSG00000095115,Itpripl2,319622,"inositol 1,4,5-triphosphate receptor interacting protein-like 2",437.1700275758922,3.014558291750533,0.28730031513512716,10.492707919003442,9.331496990965818e-26,1.5243082189979428e-23,1011,693,853,40,94
ENSMUSG00000005947,Itgae,16407,"integrin alpha E, epithelial-associated",836.5245834796353,5.756576593547284,0.5488329412390758,10.488759258055678,9.729764065441064e-26,1.5619626416089958e-23,1410,1642,2076,21,12
ENSMUSG00000074398,Gm15441,100038464,predicted gene 15441,302.8438898204634,-5.4917962346783575,0.5256686353182872,-10.447258720987088,1.5082164639816156e-25,2.380170084090309e-23,29,18,15,484,500
ENSMUSG00000024754,Cemip2,83921,cell migration inducing hyaluronidase 2,370.6000134369716,3.183052420580737,0.30677105952425576,10.37598665766273,3.189009138482724e-25,4.9488106814021074e-23,813,658,701,34,65
ENSMUSG00000034612,Chst11,58250,carbohydrate sulfotransferase 11,280.1555332061662,3.7628146568758565,0.36276648930377425,10.372553054989988,3.305727150926418e-25,5.045840246274734e-23,679,484,526,17,35
